Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Mexico,,24.0,6.488,,,,,,,0.069,,,,,,,,,,,,24.0,Mexico,6.488,1.038,1.252,0.761,0.479,0.095
Chile,,25.0,6.476,,,,,,,0.197,,,,,,,,,,,,25.0,Chile,6.476,1.131,1.331,0.808,0.431,0.061
Taiwan,,26.0,6.441,,,,,,,0.151,,,,,,,,,,,,26.0,Taiwan,6.441,1.365,1.436,0.857,0.418,0.078
Panama,,27.0,6.43,,,,,,,0.125,,,,,,,,,,,,27.0,Panama,6.43,1.112,1.438,0.759,0.597,0.063
Brazil,,28.0,6.419,,,,,,,0.11,,,,,,,,,,,,28.0,Brazil,6.419,0.986,1.474,0.675,0.493,0.088
Argentina,,29.0,6.388,,,,,,,0.062,,,,,,,,,,,,29.0,Argentina,6.388,1.073,1.468,0.744,0.57,0.054
Guatemala,,30.0,6.382,,,,,,,0.179,,,,,,,,,,,,30.0,Guatemala,6.382,0.781,1.268,0.608,0.604,0.071
Uruguay,,31.0,6.379,,,,,,,0.13,,,,,,,,,,,,31.0,Uruguay,6.379,1.093,1.459,0.771,0.625,0.155
Qatar,,32.0,6.374,,,,,,,0.256,,,,,,,,,,,,32.0,Qatar,6.374,1.649,1.303,0.748,0.654,0.171
Saudi Arabia,,33.0,6.371,,,,,,,0.098,,,,,,,,,,,,33.0,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.127
Singapore,,34.0,6.343,,,,,,,0.261,,,,,,,,,,,,34.0,Singapore,6.343,1.529,1.451,1.008,0.631,0.457
Malaysia,,35.0,6.322,,,,,,,0.311,,,,,,,,,,,,35.0,Malaysia,6.322,1.161,1.258,0.669,0.356,0.059
Spain,,36.0,6.31,,,,,,,0.142,,,,,,,,,,,,36.0,Spain,6.31,1.251,1.538,0.965,0.449,0.074
Colombia,,37.0,6.26,,,,,,,0.099,,,,,,,,,,,,37.0,Colombia,6.26,0.96,1.439,0.635,0.531,0.039
Trinidad & Tobago,,38.0,6.192,,,,,,,0.171,,,,,,,,,,,,38.0,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.019
Slovakia,,39.0,6.173,,,,,,,0.118,,,,,,,,,,,,39.0,Slovakia,6.173,1.21,1.537,0.776,0.354,0.014
El Salvador,,40.0,6.167,,,,,,,0.065,,,,,,,,,,,,40.0,El Salvador,6.167,0.806,1.231,0.639,0.461,0.082
Nicaragua,,41.0,6.141,,,,,,,0.208,,,,,,,,,,,,41.0,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.128
Poland,,42.0,6.123,,,,,,,0.108,,,,,,,,,,,,42.0,Poland,6.123,1.176,1.448,0.781,0.546,0.064
Bahrain,,43.0,6.105,,,,,,,0.243,,,,,,,,,,,,43.0,Bahrain,6.105,1.338,1.366,0.698,0.594,0.123
Uzbekistan,,44.0,6.096,,,,,,,0.328,,,,,,,,,,,,44.0,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.259
Kuwait,,45.0,6.083,,,,,,,0.167,,,,,,,,,,,,45.0,Kuwait,6.083,1.474,1.301,0.675,0.554,0.106
Thailand,,46.0,6.072,,,,,,,0.364,,,,,,,,,,,,46.0,Thailand,6.072,1.016,1.417,0.707,0.637,0.029
Italy,,47.0,6.0,,,,,,,0.137,,,,,,,,,,,,47.0,Italy,6.0,1.264,1.501,0.946,0.281,0.028
Ecuador,,48.0,5.973,,,,,,,0.114,,,,,,,,,,,,48.0,Ecuador,5.973,0.889,1.33,0.736,0.556,0.12
Belize,,49.0,5.956,,,,,,,0.183,,,,,,,,,,,,49.0,Belize,5.956,0.807,1.101,0.474,0.593,0.089
Lithuania,,50.0,5.952,,,,,,,0.026,,,,,,,,,,,,50.0,Lithuania,5.952,1.197,1.527,0.716,0.35,0.006
Slovenia,,51.0,5.948,,,,,,,0.16,,,,,,,,,,,,51.0,Slovenia,5.948,1.219,1.506,0.856,0.633,0.051
Romania,,52.0,5.945,,,,,,,0.088,,,,,,,,,,,,52.0,Romania,5.945,1.116,1.219,0.726,0.528,0.001
Latvia,,53.0,5.933,,,,,,,0.092,,,,,,,,,,,,53.0,Latvia,5.933,1.148,1.454,0.671,0.363,0.066
Japan,,54.0,5.915,,,,,,,0.079,,,,,,,,,,,,54.0,Japan,5.915,1.294,1.462,0.988,0.553,0.15
Mauritius,,55.0,5.891,,,,,,,0.245,,,,,,,,,,,,55.0,Mauritius,5.891,1.09,1.387,0.684,0.584,0.05
Jamaica,,56.0,5.89,,,,,,,0.096,,,,,,,,,,,,56.0,Jamaica,5.89,0.819,1.493,0.693,0.575,0.031
"Korea, South",,57.0,5.875,,,,,,,0.175,,,,,,,,,,,,57.0,South Korea,5.875,1.266,1.204,0.955,0.244,0.051
Cyprus,,58.0,5.835,,,,,,,0.179,,,,,,,,,,,,58.0,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.154
Russia,,59.0,5.81,,,,,,,0.065,,,,,,,,,,,,59.0,Russia,5.81,1.151,1.479,0.599,0.399,0.025
Kazakhstan,,60.0,5.79,,,,,,,0.148,,,,,,,,,,,,60.0,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.121
Cyprus,,61.0,5.762,,,,,,,0.202,,,,,,,,,,,,61.0,Cyprus,5.762,1.229,1.191,0.909,0.423,0.035
Bolivia,,62.0,5.752,,,,,,,0.141,,,,,,,,,,,,62.0,Bolivia,5.752,0.751,1.223,0.508,0.606,0.054
Estonia,,63.0,5.739,,,,,,,0.086,,,,,,,,,,,,63.0,Estonia,5.739,1.2,1.532,0.737,0.553,0.174
Paraguay,,64.0,5.681,,,,,,,0.162,,,,,,,,,,,,64.0,Paraguay,5.681,0.835,1.522,0.615,0.541,0.074
Peru,,65.0,5.663,,,,,,,0.092,,,,,,,,,,,,65.0,Peru,5.663,0.934,1.249,0.674,0.53,0.034
Moldova,,67.0,5.64,,,,,,,0.171,,,,,,,,,,,,67.0,Moldova,5.64,0.657,1.301,0.62,0.232,0.0
Turkmenistan,,68.0,5.636,,,,,,,0.199,,,,,,,,,,,,68.0,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.037
Hungary,,69.0,5.62,,,,,,,0.061,,,,,,,,,,,,69.0,Hungary,5.62,1.171,1.401,0.732,0.259,0.022
Libya,,70.0,5.566,,,,,,,0.116,,,,,,,,,,,,70.0,Libya,5.566,0.985,1.35,0.553,0.496,0.148
Philippines,,71.0,5.524,,,,,,,0.12,,,,,,,,,,,,71.0,Philippines,5.524,0.775,1.312,0.513,0.643,0.105
Honduras,,72.0,5.504,,,,,,,0.197,,,,,,,,,,,,72.0,Honduras,5.504,0.62,1.205,0.622,0.459,0.074
Belarus,,73.0,5.483,,,,,,,0.101,,,,,,,,,,,,73.0,Belarus,5.483,1.039,1.498,0.7,0.307,0.154
Turkey,,74.0,5.483,,,,,,,0.106,,,,,,,,,,,,74.0,Turkey,5.483,1.148,1.38,0.686,0.324,0.109
Pakistan,,75.0,5.472,,,,,,,0.216,,,,,,,,,,,,75.0,Pakistan,5.472,0.652,0.81,0.424,0.334,0.113
Hong Kong,,76.0,5.43,,,,,,,0.246,,,,,,,,,,,,76.0,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.291
Portugal,,77.0,5.41,,,,,,,0.055,,,,,,,,,,,,77.0,Portugal,5.41,1.188,1.429,0.884,0.562,0.017
Serbia,,78.0,5.398,,,,,,,0.134,,,,,,,,,,,,78.0,Serbia,5.398,0.975,1.369,0.685,0.288,0.043
Greece,,79.0,5.358,,,,,,,0.0,,,,,,,,,,,,79.0,Greece,5.358,1.154,1.202,0.879,0.131,0.044
Lebanon,,80.0,5.358,,,,,,,0.214,,,,,,,,,,,,80.0,Lebanon,5.358,0.965,1.179,0.785,0.503,0.136
Croatia,,82.0,5.321,,,,,,,0.12,,,,,,,,,,,,82.0,Croatia,5.321,1.115,1.161,0.737,0.38,0.039
Dominican Republic,,83.0,5.302,,,,,,,0.12,,,,,,,,,,,,83.0,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.106
Algeria,,84.0,5.295,,,,,,,0.055,,,,,,,,,,,,84.0,Algeria,5.295,0.979,1.154,0.687,0.077,0.135
Morocco,,85.0,5.254,,,,,,,0.026,,,,,,,,,,,,85.0,Morocco,5.254,0.779,0.797,0.669,0.46,0.074
China,,86.0,5.246,,,,,,,0.029,,,,,,,,,,,,86.0,China,5.246,0.989,1.142,0.799,0.597,0.103
Azerbaijan,,87.0,5.201,,,,,,,0.031,,,,,,,,,,,,87.0,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.176
Tajikistan,,88.0,5.199,,,,,,,0.187,,,,,,,,,,,,88.0,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.034
Macedonia,,89.0,5.185,,,,,,,0.173,,,,,,,,,,,,89.0,Macedonia,5.185,0.959,1.239,0.691,0.394,0.052
